zone_id,zone_name,lat,lon,crop,temp_max_mean,temp_min_mean,temp_avg,precip_total_mm,precip_avg_mm,windspeed_mean,et0_mean,soil_moisture_mean,soil_phh2o,soil_clay,soil_soc,soil_bdod,soil_sand,soil_silt,heat_index,temp_rain_ratio,drought_index,soil_stress,water_need_mm,heat_tolerance_c,drought_tolerance,risk_label
0,Punjab Wheat Belt,30.9,75.8,Wheat,26.81,14.54,20.68,389.2,4.325,19.6,3.405,0.2534,6.44,23.0,11.34,1.152,80.0,5.0,24.04,3.883,0.785,0.3192,450,32,0.6,0
0,Punjab Wheat Belt,30.9,75.8,Wheat,27.99,14.69,21.34,127.0,1.411,10.8,3.558,0.1348,6.83,31.2,7.1,1.433,70.6,5.0,22.6,8.849,2.501,0.7475,450,32,0.6,1
0,Punjab Wheat Belt,30.9,75.8,Wheat,25.99,12.43,19.21,335.7,3.73,17.6,3.355,0.2569,6.53,7.6,7.82,1.317,80.0,12.4,24.05,4.061,0.897,0.6221,450,32,0.6,0
0,Punjab Wheat Belt,30.9,75.8,Wheat,29.25,15.43,22.34,323.0,3.589,19.5,3.815,0.347,7.04,12.9,12.39,1.316,80.0,7.1,24.84,4.867,1.059,0.3927,450,32,0.6,4
0,Punjab Wheat Belt,30.9,75.8,Wheat,23.48,13.03,18.25,449.2,4.991,14.8,3.616,0.3149,6.59,17.8,11.55,1.447,76.6,5.6,25.05,3.047,0.723,0.5354,450,32,0.6,0
0,Punjab Wheat Belt,30.9,75.8,Wheat,28.5,14.13,21.31,531.1,5.901,8.5,3.541,0.3034,6.87,20.1,13.33,1.162,78.5,5.0,24.53,3.088,0.599,0.2272,450,32,0.6,0
0,Punjab Wheat Belt,30.9,75.8,Wheat,28.48,14.37,21.43,492.0,5.467,19.1,3.263,0.2091,6.6,38.0,15.29,1.329,66.5,5.0,23.65,3.313,0.596,0.2578,450,32,0.6,0
0,Punjab Wheat Belt,30.9,75.8,Wheat,22.47,12.46,17.46,448.1,4.979,10.3,3.31,0.2413,6.32,22.9,13.84,1.165,72.0,5.1,23.91,2.921,0.663,0.204,450,32,0.6,0
0,Punjab Wheat Belt,30.9,75.8,Wheat,29.08,14.01,21.55,345.3,3.837,13.4,3.332,0.2558,6.22,19.7,11.41,1.215,76.2,5.0,24.17,4.455,0.866,0.3642,450,32,0.6,0
0,Punjab Wheat Belt,30.9,75.8,Wheat,27.42,16.0,21.71,1735.5,19.283,11.7,3.158,0.4769,7.49,42.3,16.93,1.279,54.3,5.0,24.98,1.07,0.164,0.1372,450,32,0.6,3
1,Haryana Rice Zone,29.1,76.4,Rice,30.26,11.61,20.93,395.7,4.396,15.4,3.567,0.2269,6.74,30.0,11.36,1.261,65.6,5.0,23.76,3.879,0.809,0.4023,1200,35,0.3,2
1,Haryana Rice Zone,29.1,76.4,Rice,28.44,13.9,21.17,247.3,2.747,18.5,4.32,0.1138,6.4,27.1,14.63,1.196,66.3,6.6,22.16,5.65,1.566,0.1889,1200,35,0.3,1
1,Haryana Rice Zone,29.1,76.4,Rice,33.51,15.48,24.49,452.0,5.022,5.1,3.794,0.2947,6.14,26.4,7.13,1.405,80.0,5.0,25.15,4.067,0.754,0.7241,1200,35,0.3,2
1,Haryana Rice Zone,29.1,76.4,Rice,26.43,14.43,20.43,2166.1,24.067,13.5,3.902,0.4812,6.97,23.0,8.99,1.211,72.9,5.0,25.13,0.815,0.162,0.4823,1200,35,0.3,3
1,Haryana Rice Zone,29.1,76.4,Rice,32.35,14.76,23.56,474.3,5.27,7.9,4.114,0.2668,7.86,17.3,15.91,1.304,80.0,5.0,24.71,3.757,0.779,0.2078,1200,35,0.3,2
1,Haryana Rice Zone,29.1,76.4,Rice,31.16,14.62,22.89,519.3,5.77,13.4,3.542,0.2337,6.24,26.4,13.54,1.212,74.4,5.0,24.3,3.381,0.613,0.2549,1200,35,0.3,2
